"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2023","1,841.25","1,841.25","1,841.25","1,841.25","","0.91%"
"02/28/2023","1,824.60","1,824.60","1,824.60","1,824.60","","0.33%"
"02/27/2023","1,818.65","1,818.65","1,818.65","1,818.65","","0.43%"
"02/24/2023","1,810.95","1,810.95","1,810.95","1,810.95","","-0.83%"
"02/23/2023","1,826.05","1,826.05","1,826.05","1,826.05","","-0.53%"
"02/22/2023","1,835.75","1,835.75","1,835.75","1,835.75","","-0.06%"
"02/21/2023","1,836.85","1,836.85","1,836.85","1,836.85","","-0.48%"
"02/20/2023","1,845.80","1,845.80","1,845.80","1,845.80","","0.65%"
"02/17/2023","1,833.95","1,833.95","1,833.95","1,833.95","","0.27%"
"02/16/2023","1,828.95","1,828.95","1,828.95","1,828.95","","-0.12%"
"02/15/2023","1,831.20","1,831.20","1,831.20","1,831.20","","-1.74%"
"02/14/2023","1,863.70","1,863.70","1,863.70","1,863.70","","0.41%"
"02/13/2023","1,856.05","1,856.05","1,856.05","1,856.05","","-0.20%"
"02/10/2023","1,859.70","1,859.70","1,859.70","1,859.70","","-1.03%"
"02/09/2023","1,879.10","1,879.10","1,879.10","1,879.10","","0.34%"
"02/08/2023","1,872.65","1,872.65","1,872.65","1,872.65","","0.10%"
"02/07/2023","1,870.70","1,870.70","1,870.70","1,870.70","","-0.14%"
"02/06/2023","1,873.25","1,873.25","1,873.25","1,873.25","","-0.11%"
"02/03/2023","1,875.35","1,875.35","1,875.35","1,875.35","","-2.41%"
"02/02/2023","1,921.65","1,921.65","1,921.65","1,921.65","","-0.22%"
"02/01/2023","1,925.90","1,925.90","1,925.90","1,925.90","","0.10%"
"01/31/2023","1,923.90","1,923.90","1,923.90","1,923.90","","-0.01%"
"01/30/2023","1,924.10","1,924.10","1,924.10","1,924.10","","0.05%"
"01/27/2023","1,923.05","1,923.05","1,923.05","1,923.05","","-0.49%"
"01/26/2023","1,932.45","1,932.45","1,932.45","1,932.45","","0.09%"
"01/25/2023","1,930.80","1,930.80","1,930.80","1,930.80","","0.52%"
"01/24/2023","1,920.75","1,920.75","1,920.75","1,920.75","","0.31%"
"01/23/2023","1,914.85","1,914.85","1,914.85","1,914.85","","-0.52%"
"01/20/2023","1,924.90","1,924.90","1,924.90","1,924.90","","0.33%"
"01/19/2023","1,918.60","1,918.60","1,918.60","1,918.60","","-0.11%"
"01/18/2023","1,920.70","1,920.70","1,920.70","1,920.70","","0.36%"
"01/17/2023","1,913.80","1,913.80","1,913.80","1,913.80","","-0.17%"
"01/16/2023","1,917.00","1,917.00","1,917.00","1,917.00","","0.52%"
"01/13/2023","1,907.15","1,907.15","1,907.15","1,907.15","","1.31%"
"01/12/2023","1,882.55","1,882.55","1,882.55","1,882.55","","0.54%"
"01/11/2023","1,872.35","1,872.35","1,872.35","1,872.35","","-0.34%"
"01/10/2023","1,878.65","1,878.65","1,878.65","1,878.65","","-0.01%"
"01/09/2023","1,878.85","1,878.85","1,878.85","1,878.85","","1.44%"
"01/06/2023","1,852.20","1,852.20","1,852.20","1,852.20","","0.99%"
"01/05/2023","1,834.00","1,834.00","1,834.00","1,834.00","","-1.25%"
"01/04/2023","1,857.30","1,857.30","1,857.30","1,857.30","","0.76%"
"01/03/2023","1,843.25","1,843.25","1,843.25","1,843.25","","1.70%"
"12/30/2022","1,812.35","1,812.35","1,812.35","1,812.35","","-0.08%"
"12/29/2022","1,813.75","1,813.75","1,813.75","1,813.75","","0.58%"
"12/28/2022","1,803.35","1,803.35","1,803.35","1,803.35","","0.33%"
"12/23/2022","1,797.40","1,797.40","1,797.40","1,797.40","","-0.18%"
"12/22/2022","1,800.70","1,800.70","1,800.70","1,800.70","","-0.93%"
"12/21/2022","1,817.55","1,817.55","1,817.55","1,817.55","","0.20%"
"12/20/2022","1,813.90","1,813.90","1,813.90","1,813.90","","1.29%"
"12/19/2022","1,790.80","1,790.80","1,790.80","1,790.80","","-0.10%"
"12/16/2022","1,792.55","1,792.55","1,792.55","1,792.55","","0.50%"
"12/15/2022","1,783.55","1,783.55","1,783.55","1,783.55","","-1.36%"
"12/14/2022","1,808.05","1,808.05","1,808.05","1,808.05","","-0.85%"
"12/13/2022","1,823.55","1,823.55","1,823.55","1,823.55","","2.07%"
"12/12/2022","1,786.60","1,786.60","1,786.60","1,786.60","","-0.53%"
"12/09/2022","1,796.15","1,796.15","1,796.15","1,796.15","","0.34%"
"12/08/2022","1,790.15","1,790.15","1,790.15","1,790.15","","0.45%"
"12/07/2022","1,782.20","1,782.20","1,782.20","1,782.20","","0.47%"
"12/06/2022","1,773.80","1,773.80","1,773.80","1,773.80","","-0.17%"
"12/05/2022","1,776.80","1,776.80","1,776.80","1,776.80","","-0.45%"
"12/02/2022","1,784.75","1,784.75","1,784.75","1,784.75","","-1.02%"
"12/01/2022","1,803.15","1,803.15","1,803.15","1,803.15","","2.83%"
"11/30/2022","1,753.50","1,753.50","1,753.50","1,753.50","","0.05%"
"11/29/2022","1,752.70","1,752.70","1,752.70","1,752.70","","0.35%"
"11/28/2022","1,746.55","1,746.55","1,746.55","1,746.55","","-0.30%"
"11/25/2022","1,751.85","1,751.85","1,751.85","1,751.85","","-0.20%"
"11/24/2022","1,755.40","1,755.40","1,755.40","1,755.40","","0.88%"
"11/23/2022","1,740.15","1,740.15","1,740.15","1,740.15","","-0.16%"
"11/22/2022","1,742.95","1,742.95","1,742.95","1,742.95","","0.15%"
"11/21/2022","1,740.40","1,740.40","1,740.40","1,740.40","","-0.64%"
"11/18/2022","1,751.60","1,751.60","1,751.60","1,751.60","","-0.40%"
"11/17/2022","1,758.60","1,758.60","1,758.60","1,758.60","","-0.81%"
"11/16/2022","1,773.00","1,773.00","1,773.00","1,773.00","","0.09%"
"11/15/2022","1,771.35","1,771.35","1,771.35","1,771.35","","0.14%"
"11/14/2022","1,768.90","1,768.90","1,768.90","1,768.90","","0.54%"
"11/11/2022","1,759.35","1,759.35","1,759.35","1,759.35","","0.84%"
"11/10/2022","1,744.75","1,744.75","1,744.75","1,744.75","","1.72%"
"11/09/2022","1,715.25","1,715.25","1,715.25","1,715.25","","2.18%"
"11/08/2022","1,678.65","1,678.65","1,678.65","1,678.65","","-0.02%"
"11/07/2022","1,678.95","1,678.95","1,678.95","1,678.95","","0.27%"
"11/04/2022","1,674.40","1,674.40","1,674.40","1,674.40","","2.80%"
"11/03/2022","1,628.75","1,628.75","1,628.75","1,628.75","","-1.26%"
"11/02/2022","1,649.55","1,649.55","1,649.55","1,649.55","","0.26%"
"11/01/2022","1,645.25","1,645.25","1,645.25","1,645.25","","0.38%"
"10/31/2022","1,639.00","1,639.00","1,639.00","1,639.00","","-0.55%"
"10/28/2022","1,648.05","1,648.05","1,648.05","1,648.05","","-0.70%"
"10/27/2022","1,659.75","1,659.75","1,659.75","1,659.75","","-0.42%"
"10/26/2022","1,666.75","1,666.75","1,666.75","1,666.75","","0.45%"
"10/25/2022","1,659.25","1,659.25","1,659.25","1,659.25","","0.61%"
"10/24/2022","1,649.15","1,649.15","1,649.15","1,649.15","","0.36%"
"10/21/2022","1,643.25","1,643.25","1,643.25","1,643.25","","0.49%"
"10/20/2022","1,635.30","1,635.30","1,635.30","1,635.30","","0.22%"
"10/19/2022","1,631.70","1,631.70","1,631.70","1,631.70","","-1.29%"
"10/18/2022","1,653.00","1,653.00","1,653.00","1,653.00","","-0.71%"
"10/17/2022","1,664.75","1,664.75","1,664.75","1,664.75","","0.94%"
"10/14/2022","1,649.30","1,649.30","1,649.30","1,649.30","","0.07%"
"10/13/2022","1,648.10","1,648.10","1,648.10","1,648.10","","-1.35%"
"10/12/2022","1,670.65","1,670.65","1,670.65","1,670.65","","0.36%"
"10/11/2022","1,664.70","1,664.70","1,664.70","1,664.70","","-0.71%"
"10/10/2022","1,676.55","1,676.55","1,676.55","1,676.55","","-1.16%"
"10/07/2022","1,696.15","1,696.15","1,696.15","1,696.15","","-1.05%"
"10/06/2022","1,714.20","1,714.20","1,714.20","1,714.20","","0.81%"
"10/05/2022","1,700.50","1,700.50","1,700.50","1,700.50","","-0.84%"
"10/04/2022","1,714.85","1,714.85","1,714.85","1,714.85","","2.78%"
"10/03/2022","1,668.40","1,668.40","1,668.40","1,668.40","","-0.20%"
"09/30/2022","1,671.75","1,671.75","1,671.75","1,671.75","","1.02%"
"09/29/2022","1,654.80","1,654.80","1,654.80","1,654.80","","0.16%"
"09/28/2022","1,652.15","1,652.15","1,652.15","1,652.15","","1.09%"
"09/27/2022","1,634.30","1,634.30","1,634.30","1,634.30","","-0.55%"
"09/26/2022","1,643.35","1,643.35","1,643.35","1,643.35","","-0.01%"
"09/23/2022","1,643.55","1,643.55","1,643.55","1,643.55","","-1.69%"
"09/22/2022","1,671.85","1,671.85","1,671.85","1,671.85","","0.01%"
"09/21/2022","1,671.75","1,671.75","1,671.75","1,671.75","","0.46%"
"09/20/2022","1,664.15","1,664.15","1,664.15","1,664.15","","-0.03%"
"09/16/2022","1,664.65","1,664.65","1,664.65","1,664.65","","-1.45%"
"09/15/2022","1,689.10","1,689.10","1,689.10","1,689.10","","-0.87%"
"09/14/2022","1,703.90","1,703.90","1,703.90","1,703.90","","-0.06%"
"09/13/2022","1,704.85","1,704.85","1,704.85","1,704.85","","-1.25%"
"09/12/2022","1,726.40","1,726.40","1,726.40","1,726.40","","0.76%"
"09/09/2022","1,713.40","1,713.40","1,713.40","1,713.40","","0.24%"
"09/08/2022","1,709.35","1,709.35","1,709.35","1,709.35","","0.39%"
"09/07/2022","1,702.65","1,702.65","1,702.65","1,702.65","","0.00%"
"09/06/2022","1,702.60","1,702.60","1,702.60","1,702.60","","-0.49%"
"09/05/2022","1,710.95","1,710.95","1,710.95","1,710.95","","-0.09%"
"09/02/2022","1,712.50","1,712.50","1,712.50","1,712.50","","1.07%"
"09/01/2022","1,694.30","1,694.30","1,694.30","1,694.30","","-1.26%"
"08/31/2022","1,715.90","1,715.90","1,715.90","1,715.90","","-0.83%"
"08/30/2022","1,730.30","1,730.30","1,730.30","1,730.30","","-1.20%"
"08/26/2022","1,751.25","1,751.25","1,751.25","1,751.25","","-0.13%"
"08/25/2022","1,753.55","1,753.55","1,753.55","1,753.55","","0.45%"
"08/24/2022","1,745.65","1,745.65","1,745.65","1,745.65","","-0.05%"
"08/23/2022","1,746.55","1,746.55","1,746.55","1,746.55","","0.77%"
"08/22/2022","1,733.25","1,733.25","1,733.25","1,733.25","","-1.00%"
"08/19/2022","1,750.75","1,750.75","1,750.75","1,750.75","","-0.84%"
